,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,James Posey,HOU,26,83,35,48,30.3,97.7,100.7,-3.0,12.6,1.28,15.6,3.6,13.9,8.6,12.2,45.7,51.9,17.7,92.08,10.2,"4,831"
2,Adonal Foyle,GSW,28,82,38,44,21.8,106.4,103.8,2.6,3.2,0.51,7.4,9.8,16.1,13.1,14.6,53.6,56.3,11.1,95.37,9.2,"3,539"
2,Al Harrington,IND,23,82,48,34,30.1,102.1,98.9,3.1,8.9,0.77,9.6,6.6,14.4,10.5,12.5,44.1,49.3,21.5,92.16,8.5,"4,741"
2,Alan Henderson,ATL,30,82,35,47,18.2,96.4,103.9,-7.5,4.6,0.67,8.3,10.5,15.7,13.2,12.4,46.8,50.8,13.1,94.35,7.8,"2,940"
2,Allan Houston,NYK,32,82,37,45,37.9,103.8,104.3,-0.5,12.9,1.24,10.9,0.8,7.0,3.8,8.8,50.6,56.3,26.2,93.15,11.0,"6,034"
2,Allen Iverson,PHI,28,82,48,34,42.5,103.3,100.6,2.7,24.8,1.59,15.1,2.0,8.5,5.2,9.5,43.6,50.0,32.4,93.90,13.7,"6,814"
2,Amar'e Stoudemire,PHX,20,82,44,38,31.3,102.2,101.6,0.6,5.0,0.41,6.0,9.6,18.2,13.9,14.5,47.3,53.0,21.1,93.57,10.2,"4,999"
2,Antawn Jamison,GSW,27,82,38,44,39.4,106.4,108.5,-2.1,8.5,0.88,7.7,5.7,11.3,8.5,8.8,49.2,54.2,24.1,96.19,11.6,"6,482"
2,Anthony Peeler,MIN,33,82,51,31,27.4,104.4,103.2,1.3,15.8,2.98,25.5,1.8,8.6,5.4,8.6,48.5,49.9,14.2,94.56,7.3,"4,411"
2,Brian Grant,MIA,31,82,25,57,32.2,96.1,101.9,-5.8,7.0,0.81,10.4,9.3,24.4,16.6,12.9,50.9,55.2,15.8,89.88,12.5,"4,939"
2,Bruce Bowen,SAS,32,82,60,22,31.3,103.5,95.4,8.2,6.8,1.57,16.0,2.6,6.8,4.8,10.2,57.1,56.3,10.7,91.41,5.5,"4,877"
2,Corliss Williamson,DET,29,82,50,32,25.1,104.3,95.3,9.0,9.9,0.83,8.7,7.3,10.6,8.9,10.6,45.4,51.5,24.5,88.69,9.8,"3,807"
2,Darrell Armstrong,ORL,35,82,42,40,28.7,103.1,102.8,0.3,21.9,2.02,27.0,3.8,9.0,6.3,13.4,47.0,53.0,16.2,96.10,10.0,"4,719"
2,Derek Fisher,LAL,28,82,50,32,34.5,107.8,103.1,4.6,15.7,3.17,24.4,1.4,7.0,4.2,7.7,49.2,52.0,14.3,94.78,7.8,"5,595"
2,Eric Snow,PHI,30,82,48,34,37.9,102.1,100.1,2.0,27.8,2.80,32.0,2.3,8.0,5.1,11.4,45.6,54.6,16.5,93.57,11.1,"6,062"
2,Eric Williams,BOS,30,82,44,38,28.7,100.1,98.8,1.2,10.3,1.44,15.0,6.0,10.4,8.1,10.4,47.4,53.8,15.3,93.27,8.1,"4,573"
2,Erick Dampier,GSW,27,82,38,44,24.1,104.0,108.0,-4.0,4.5,0.52,7.3,11.8,14.3,13.1,14.1,49.6,54.3,15.7,95.57,8.3,"3,929"
2,Gilbert Arenas,GSW,21,82,38,44,35.0,106.6,108.0,-1.4,29.4,1.77,23.5,3.2,9.5,6.3,13.3,47.8,54.0,24.2,97.38,11.6,"5,821"
2,Howard Eisley,NYK,30,82,37,45,27.4,103.1,104.7,-1.5,30.8,2.98,35.0,1.1,7.7,4.3,11.8,52.1,55.2,16.9,92.09,9.3,"4,300"
2,Jalen Rose,CHI,30,82,30,52,40.9,99.3,105.1,-5.9,20.9,1.39,16.1,2.0,8.2,5.1,11.6,44.8,50.8,27.0,95.25,9.8,"6,649"
2,Jamaal Magloire,NOH,25,82,47,35,29.8,103.5,100.4,3.0,5.8,0.56,8.6,10.7,19.6,15.1,15.4,48.0,54.1,17.2,90.98,10.1,"4,627"
2,Jamal Mashburn,NOH,30,82,47,35,40.6,103.1,100.5,2.6,25.9,2.01,19.0,2.0,13.4,7.6,9.5,46.0,50.7,26.5,91.25,13.7,"6,317"
2,Jason Richardson,GSW,22,82,38,44,32.9,106.1,109.3,-3.3,14.9,1.38,14.5,3.9,9.3,6.6,10.5,46.3,50.1,22.5,97.21,8.6,"5,473"
2,Joe Johnson,PHX,22,82,44,38,27.5,102.7,101.1,1.6,15.1,1.94,17.9,2.5,9.1,5.8,9.2,44.4,47.2,18.9,93.12,7.9,"4,369"
2,John Stockton,UTA,41,82,47,35,27.7,106.6,100.9,5.7,44.4,3.46,40.3,2.5,6.9,4.8,11.7,50.5,57.7,18.5,91.63,15.4,"4,337"
2,Junior Harrington,DEN,22,82,17,65,24.4,89.2,96.3,-7.1,23.4,1.76,29.1,2.2,11.4,6.5,16.5,36.9,40.5,15.0,92.35,5.2,"3,837"
2,Kendall Gill,MIN,35,82,51,31,25.2,99.9,100.2,-0.3,12.0,1.44,15.4,2.5,9.3,5.9,10.7,43.6,47.7,18.2,94.81,7.0,"4,080"
2,Kevin Garnett,MIN,27,82,51,31,40.5,106.8,100.6,6.2,24.9,2.16,20.5,7.6,24.8,16.5,9.5,50.8,55.3,25.8,93.48,19.7,"6,480"
2,Kevin Ollie,SEA,30,82,44,38,23.2,103.7,99.2,4.5,25.2,4.04,32.9,1.4,8.3,5.0,8.1,45.4,51.4,14.7,90.54,10.3,"3,567"
2,Kobe Bryant,LAL,24,82,50,32,41.5,106.4,102.8,3.6,26.8,1.67,16.1,3.1,13.4,8.2,9.6,48.3,55.0,32.3,94.33,18.0,"6,699"
2,Mark Jackson,UTA,38,82,47,35,17.9,96.3,97.3,-1.0,43.7,2.47,40.2,2.5,9.7,6.3,16.3,43.5,47.3,17.0,92.10,11.5,"2,820"
2,Michael Jordan,WAS,40,82,37,45,36.9,102.0,102.3,-0.3,20.7,1.80,14.4,2.5,14.7,8.6,8.0,45.0,49.1,28.4,89.65,13.9,"5,668"
2,Michael Redd,MIL,23,82,42,40,28.3,108.1,105.7,2.4,8.9,1.58,9.5,4.4,12.2,8.3,6.0,56.2,59.0,21.8,93.56,12.9,"4,523"
2,Mike Dunleavy,GSW,22,82,38,44,15.9,105.2,103.6,1.6,12.5,1.23,16.2,4.9,10.8,7.9,13.1,46.5,50.5,17.2,98.58,7.7,"2,692"
2,Moochie Norris,HOU,29,82,43,39,16.8,99.0,100.1,-1.1,23.9,2.28,29.4,2.9,8.9,6.0,12.9,42.3,47.0,15.7,89.55,9.2,"2,573"
2,Morris Peterson,TOR,25,82,24,58,35.9,98.7,104.1,-5.5,11.0,1.47,12.6,3.2,9.4,6.2,8.6,44.6,48.8,20.0,91.79,7.7,"5,642"
