,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Bo Outlaw,PHX,31,83,37,46,23.2,100.6,98.4,2.2,9.7,1.32,22.6,7.8,11.1,9.5,17.1,55.7,54.7,10.1,92.19,7.1,"3,691"
1,Jalen Rose,CHI,29,83,35,48,38.0,102.6,104.6,-2.0,20.3,1.77,16.5,1.4,10.4,6.0,9.3,48.5,52.8,25.7,93.94,11.3,"6,174"
3,Aaron Williams,NJN,30,82,52,30,18.9,99.7,95.1,4.7,8.4,0.97,11.3,7.7,14.2,11.1,11.6,52.6,56.8,17.7,92.88,10.2,"2,990"
3,Alvin Williams,TOR,27,82,42,40,35.8,101.4,101.8,-0.5,26.2,3.12,28.4,1.9,7.7,4.8,9.1,44.7,47.0,18.1,90.91,9.8,"5,553"
3,Andrei Kirilenko,UTA,21,82,44,38,26.3,105.4,97.3,8.1,7.3,0.87,9.3,7.3,12.7,10.0,10.7,47.0,55.3,18.8,93.24,12.5,"4,187"
3,Antawn Jamison,GSW,26,82,21,61,37.0,101.8,108.0,-6.1,9.3,1.00,8.5,6.3,11.0,8.6,8.5,47.1,51.6,23.4,97.34,10.7,"6,154"
3,Anthony Mason,MIL,35,82,41,41,38.3,106.6,106.6,-0.1,16.2,2.66,28.8,4.3,16.4,10.6,10.8,50.6,54.4,12.6,92.14,10.0,"6,035"
3,Anthony Peeler,MIN,32,82,50,32,25.1,105.5,105.5,0.0,13.5,2.33,18.4,1.8,8.3,5.1,7.9,50.2,51.9,17.0,93.00,8.1,"4,001"
3,Antonio Daniels,SAS,27,82,58,24,26.5,104.4,98.1,6.4,17.6,3.26,22.8,1.1,6.8,4.1,7.0,48.6,53.4,16.2,91.98,9.7,"4,157"
3,Baron Davis,CHH,23,82,44,38,40.5,104.3,102.0,2.3,36.4,2.84,28.7,2.8,7.8,5.3,10.1,48.0,49.8,23.4,91.38,12.1,"6,322"
3,Chauncey Billups,MIN,25,82,50,32,28.7,107.6,104.3,3.4,29.6,3.26,29.9,1.5,8.3,4.9,9.2,49.8,55.5,20.2,92.05,11.7,"4,528"
3,Chris Whitney,WAS,30,82,37,45,26.5,104.1,105.3,-1.2,22.9,3.69,28.0,0.5,7.0,3.7,7.6,51.8,56.8,16.7,91.38,9.8,"4,138"
3,Darius Miles,LAC,20,82,39,43,27.1,103.2,102.8,0.4,13.7,1.15,16.7,4.9,15.1,10.1,14.5,48.3,51.6,18.3,92.72,10.2,"4,293"
3,Darrell Armstrong,ORL,34,82,44,38,33.3,106.7,103.1,3.6,24.9,2.59,29.8,2.9,8.7,5.8,11.5,50.4,55.3,17.2,95.48,11.0,"5,443"
3,Devean George,LAL,24,82,58,24,21.5,107.2,95.3,11.9,9.7,1.68,14.7,4.3,11.9,8.2,8.7,47.4,50.2,16.1,93.93,8.5,"3,449"
3,Gary Payton,SEA,33,82,45,37,40.2,107.0,103.8,3.2,39.1,3.53,27.7,2.5,9.7,6.2,7.8,49.0,52.6,26.6,91.34,16.0,"6,274"
