,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Jarrett Jack,NOH,27,83,39,44,20.8,101.6,106.3,-4.7,25.1,2.20,22.5,1.2,9.6,5.3,10.2,43.4,50.3,22.4,90.61,10.9,"3,239"
2,Al Jefferson,UTA,26,82,39,43,35.9,107.7,110.8,-3.1,9.0,1.42,8.8,8.5,20.2,14.3,6.2,49.6,52.8,23.9,92.19,13.4,"5,651"
2,Ben Gordon,DET,28,82,30,52,26.0,107.2,110.0,-2.8,12.9,1.21,15.0,2.0,8.2,4.9,12.4,51.0,54.8,20.6,91.49,7.5,"4,061"
2,Blake Griffin,LAC,22,82,32,50,37.9,105.9,108.0,-2.2,18.4,1.40,14.1,9.0,23.8,16.4,10.1,50.8,54.9,27.0,93.88,16.0,"6,078"
2,Boris Diaw,CHA,29,82,34,48,33.9,102.8,107.3,-4.5,20.3,2.03,25.3,4.0,11.8,7.9,12.5,54.3,55.8,16.6,90.97,10.0,"5,265"
2,Brook Lopez,NJN,23,82,24,58,35.2,103.5,109.7,-6.2,8.7,0.73,7.1,7.0,10.8,8.8,9.6,49.2,54.9,27.0,90.81,11.4,"5,475"
2,C.J. Watson,CHI,27,82,62,20,13.3,99.3,92.6,6.7,30.3,2.55,26.7,1.5,7.3,4.4,10.5,42.6,46.6,21.2,92.57,10.4,"2,103"
2,D.J. Augustin,CHA,23,82,34,48,33.6,103.6,108.7,-5.2,30.6,3.21,28.9,1.5,7.3,4.3,9.0,47.4,54.1,20.5,91.40,11.1,"5,257"
2,DeMar DeRozan,TOR,21,82,22,60,34.8,104.4,111.7,-7.3,8.5,1.03,9.1,2.7,9.2,5.8,8.9,46.9,53.0,23.0,94.37,8.7,"5,605"
2,Derek Fisher,LAL,36,82,57,25,28.0,111.7,101.8,9.8,13.4,3.20,25.8,0.6,6.0,3.4,8.1,44.9,48.6,12.5,93.14,5.2,"4,461"
2,Dorell Wright,GSW,25,82,36,46,38.4,107.1,109.0,-1.9,11.4,1.82,14.9,2.8,11.2,6.9,8.2,50.8,53.9,19.0,97.18,9.3,"6,366"
2,Eric Maynor,OKC,24,82,55,27,14.6,107.4,99.0,8.5,31.3,3.09,35.3,2.3,8.0,5.2,11.4,45.8,48.5,16.4,94.63,9.2,"2,363"
2,James Harden,OKC,21,82,55,27,26.7,109.2,104.3,4.9,13.6,1.66,15.8,2.0,9.6,6.0,9.5,51.8,59.8,19.3,94.22,10.8,"4,295"
2,Jared Dudley,PHX,25,82,40,42,26.1,106.0,106.6,-0.5,7.8,1.40,11.8,5.4,9.8,7.6,8.4,56.0,59.8,16.7,95.70,9.7,"4,262"
2,Jason Terry,DAL,33,82,57,25,31.3,109.7,103.7,5.9,22.3,2.00,19.8,1.0,5.1,3.1,9.9,50.9,54.5,24.0,93.03,10.5,"4,987"
2,Jrue Holiday,PHI,21,82,41,41,35.4,106.8,103.9,2.9,28.2,2.44,29.0,2.5,9.5,6.0,11.9,48.7,52.5,20.4,93.49,10.5,"5,655"
2,Keith Bogans,CHI,31,82,62,20,17.8,107.4,101.6,5.8,9.8,2.46,21.7,1.4,9.3,5.4,8.8,55.0,55.9,11.4,91.28,5.8,"2,782"
2,Kobe Bryant,LAL,32,82,57,25,33.9,111.5,104.2,7.3,25.8,1.60,15.5,3.1,12.1,7.7,9.7,48.7,54.8,34.3,92.36,15.6,"5,361"
2,Kyle Korver,CHI,30,82,62,20,20.1,107.3,99.3,8.0,12.1,2.07,16.1,0.8,8.4,4.7,7.8,54.2,57.2,17.6,91.93,8.9,"3,184"
2,Lamar Odom,LAL,31,82,57,25,32.2,109.8,102.8,7.0,15.4,1.79,18.0,6.9,19.8,13.5,10.1,56.8,58.9,19.4,92.15,14.3,"5,077"
2,Landry Fields,NYK,23,82,42,40,31.0,110.4,108.7,1.6,8.7,1.45,16.7,4.3,16.5,10.5,11.5,56.8,59.8,13.4,97.53,9.8,"5,156"
2,Luol Deng,CHI,26,82,62,20,39.1,107.0,98.8,8.2,11.9,1.47,13.6,3.7,11.2,7.5,9.2,51.0,54.9,20.5,92.17,11.2,"6,169"
2,Metta World Peace,LAL,31,82,57,25,29.4,111.1,102.0,9.1,10.3,1.94,17.7,4.3,6.9,5.6,9.1,46.0,48.5,15.0,92.66,6.1,"4,655"
2,Omer Asik,CHI,24,82,62,20,12.1,103.2,90.2,13.1,4.9,0.50,10.5,11.8,19.6,15.8,21.0,55.3,55.9,12.3,93.14,7.6,"1,911"
2,Pau Gasol,LAL,30,82,57,25,37.0,110.8,102.1,8.6,14.8,1.92,15.8,9.1,18.3,13.8,8.2,53.0,58.9,21.4,92.48,15.9,"5,865"
2,Russell Westbrook,OKC,22,82,55,27,34.7,108.9,106.8,2.1,42.2,2.12,25.1,4.5,9.1,6.8,11.9,45.4,53.8,31.1,95.29,15.4,"5,650"
2,Serge Ibaka,OKC,21,82,55,27,27.0,108.1,104.9,3.2,1.6,0.31,2.8,10.2,18.3,14.4,8.9,54.3,57.9,15.6,93.58,10.9,"4,319"
2,Shane Battier,MEM,32,82,42,40,29.0,110.9,107.1,3.8,10.9,2.34,22.7,3.8,12.3,8.0,9.7,55.0,56.7,11.6,95.46,8.1,"4,728"
2,Shannon Brown,LAL,25,82,57,25,19.1,103.1,100.0,3.1,10.7,1.28,11.2,2.2,7.3,4.8,8.8,48.2,51.8,21.5,93.96,8.8,"3,078"
2,Thaddeus Young,PHI,23,82,41,41,26.0,105.4,101.1,4.3,6.7,0.83,7.5,7.5,13.3,10.5,9.0,54.4,56.6,21.6,94.02,12.3,"4,172"
2,Travis Outlaw,NJN,26,82,24,58,28.8,101.3,109.1,-7.8,5.9,1.18,8.7,2.3,12.1,7.2,7.4,42.7,46.9,17.1,91.58,6.2,"4,501"
2,Wesley Matthews,POR,24,82,48,34,33.6,107.5,104.7,2.8,10.1,1.19,11.6,1.8,8.5,5.1,9.7,52.8,58.2,20.9,90.50,9.7,"5,207"
33,Al-Farouq Aminu,LAC,20,81,31,50,17.9,98.5,104.9,-6.4,6.7,0.58,9.7,5.2,13.5,9.3,16.6,45.0,49.9,16.8,94.84,7.0,"2,868"
33,Andre Miller,POR,35,81,47,34,32.7,109.5,104.9,4.6,34.8,2.87,32.9,4.0,8.7,6.3,11.5,46.2,52.9,20.3,88.47,12.6,"4,898"
33,Courtney Lee,HOU,25,81,43,38,21.3,107.5,106.9,0.6,9.2,1.47,12.5,2.9,9.2,6.0,8.5,50.1,53.4,17.5,95.55,8.4,"3,425"
