,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Mark Jackson,NYK,36,83,45,38,31.1,101.1,100.3,0.8,39.6,3.78,45.4,2.4,9.4,5.9,12.0,47.9,50.5,14.0,91.38,12.1,"4,910"
2,A.C. Green,MIA,37,82,50,32,17.2,94.1,90.4,3.8,5.0,0.87,8.6,7.6,15.1,11.3,9.9,44.4,49.2,13.7,90.37,9.3,"2,660"
2,Aaron Williams,NJN,29,82,26,56,28.5,96.4,104.3,-7.9,6.8,0.67,8.7,8.9,17.6,13.0,13.1,45.7,53.3,17.7,93.30,9.5,"4,526"
2,Alvin Williams,TOR,26,82,47,35,29.2,104.3,100.9,3.5,26.7,3.95,30.4,2.0,6.8,4.3,7.7,45.2,48.3,17.2,93.70,10.2,"4,665"
2,Andre Miller,CLE,25,82,30,52,34.7,101.4,102.2,-0.8,38.9,2.48,31.0,3.4,9.3,6.4,12.5,46.1,54.1,22.8,93.09,14.2,"5,516"
2,Antawn Jamison,GSW,25,82,17,65,41.4,96.6,104.9,-8.2,9.4,0.82,6.8,7.2,13.4,10.1,8.3,45.9,49.9,27.6,96.24,11.8,"6,804"
2,Baron Davis,CHH,22,82,46,36,38.9,100.9,96.5,4.4,31.9,2.65,30.9,4.0,8.8,6.4,11.7,47.2,51.2,18.9,91.38,11.5,"6,070"
2,Brian Grant,MIA,29,82,50,32,33.8,100.0,96.6,3.4,7.2,0.59,7.0,8.5,19.0,13.8,11.8,47.9,53.6,23.2,88.60,12.8,"5,106"
2,Bruce Bowen,MIA,30,82,50,32,32.8,98.7,96.0,2.7,8.2,1.78,15.4,1.8,7.9,4.8,8.6,45.2,47.8,13.0,88.76,4.2,"4,966"
2,Clar. Weatherspoon,CLE,30,82,30,52,33.9,98.9,103.8,-5.0,6.1,0.92,9.9,8.2,20.6,14.4,10.7,50.1,56.3,15.1,92.81,13.2,"5,368"
2,Clifford Robinson,PHX,34,82,51,31,33.6,98.6,95.6,3.0,15.5,1.27,13.4,3.9,8.5,6.2,10.5,46.0,50.1,24.9,94.34,9.1,"5,393"
