,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Shareef Abdur-Rahim,POR,27,85,35,50,31.7,97.2,99.7,-2.4,12.6,0.95,10.8,7.4,16.3,12.0,11.5,48.0,55.7,24.4,91.19,14.5,"5,115"
1,Theo Ratliff,POR,31,85,35,50,31.3,98.7,99.5,-0.7,4.3,0.59,8.4,7.9,15.2,11.8,14.3,48.5,52.1,13.5,89.70,8.4,"4,967"
3,Andre Miller,DEN,28,82,43,39,34.7,104.0,101.1,3.0,28.3,2.33,27.2,4.5,8.5,6.5,11.7,46.3,54.1,20.4,95.35,12.7,"5,654"
3,Antawn Jamison,DAL,28,82,52,30,29.0,110.0,104.4,5.6,4.7,0.86,5.8,9.3,12.1,10.7,6.8,54.3,58.1,20.3,95.32,12.0,"4,730"
3,Antoine Walker,DAL,27,82,52,30,34.6,108.6,106.5,2.1,19.5,1.83,20.7,6.6,17.0,11.7,11.4,46.4,47.5,21.3,95.66,9.9,"5,662"
3,Bo Outlaw,MEM,33,82,50,32,19.7,97.2,91.0,6.1,9.3,1.30,17.2,7.7,13.3,10.5,13.2,51.0,52.2,12.1,92.28,9.6,"3,102"
3,Bruce Bowen,SAS,33,82,57,25,32.0,99.5,91.2,8.3,6.8,1.26,15.0,1.8,7.7,4.8,11.9,49.7,51.2,11.3,90.27,5.7,"4,933"
3,Carmelo Anthony,DEN,20,82,43,39,36.5,103.6,102.5,1.1,13.4,0.92,10.4,6.1,10.8,8.4,11.3,44.9,50.9,28.2,95.72,10.5,"5,965"
3,Chris Kaman,LAC,22,82,28,54,22.6,99.9,105.6,-5.7,7.8,0.55,11.5,7.0,18.3,12.7,20.9,46.0,50.2,15.8,92.12,6.8,"3,546"
3,Clifford Robinson,GSW,37,82,37,45,34.7,100.8,102.5,-1.7,16.0,1.57,18.5,1.9,9.6,5.8,11.8,44.7,47.3,19.2,91.59,6.7,"5,427"
3,Damon Jones,MIL,27,82,41,41,24.5,104.9,104.9,0.0,36.3,4.64,42.0,0.8,7.7,4.2,9.0,49.4,51.6,14.5,95.37,10.5,"3,998"
3,Damon Stoudamire,POR,30,82,41,41,38.1,101.2,103.4,-2.2,26.8,2.78,28.6,1.7,8.6,5.2,10.3,47.7,50.8,18.7,87.80,10.1,"5,717"
3,Derek Fisher,LAL,29,82,56,26,21.5,99.3,97.0,2.2,17.5,2.37,20.7,1.6,7.2,4.3,8.7,39.8,45.1,18.0,93.43,8.3,"3,439"
3,Desmond Mason,MIL,26,82,41,41,30.9,105.0,101.6,3.4,10.3,1.03,11.0,3.8,10.6,7.2,10.7,47.7,55.2,21.7,94.49,9.9,"4,988"
3,Devean George,LAL,26,82,56,26,23.8,101.9,97.5,4.4,8.9,1.27,13.8,4.4,12.4,8.4,10.8,46.5,49.2,15.8,94.90,7.6,"3,859"
3,Donyell Marshall,TOR,31,82,29,53,36.4,99.0,101.3,-2.3,7.5,1.04,9.1,7.3,20.4,13.9,8.8,52.5,54.8,19.2,90.07,13.7,"5,596"
3,Doug Christie,SAC,34,82,55,27,33.9,109.9,103.2,6.7,17.8,2.24,27.3,2.6,9.3,6.1,12.2,49.6,54.4,14.7,95.92,8.7,"5,561"
3,Earl Boykins,DEN,28,82,43,39,22.4,100.5,100.6,-0.1,28.5,2.95,24.0,2.2,5.5,3.8,8.1,45.5,50.1,21.9,95.79,11.7,"3,675"
3,Eric Snow,PHI,31,82,33,49,36.3,97.8,99.8,-2.0,32.3,3.01,35.1,2.2,7.7,5.0,11.6,41.4,49.4,16.3,89.60,10.0,"5,552"
3,Flip Murray,SEA,24,82,37,45,24.7,101.0,105.0,-4.0,18.5,1.38,14.9,2.3,7.9,5.1,10.8,46.2,49.7,26.2,93.62,9.2,"3,957"
3,Gary Payton,LAL,35,82,56,26,34.6,105.2,99.9,5.4,25.9,2.97,25.8,2.5,9.2,5.9,8.7,49.8,52.8,20.0,94.96,12.1,"5,624"
3,Jamaal Magloire,NOH,26,82,41,41,34.1,100.6,101.1,-0.5,5.5,0.43,6.5,9.5,21.4,15.3,15.3,47.3,55.1,20.1,90.19,11.6,"5,240"
3,James Posey,MEM,27,82,50,32,29.8,103.8,100.7,3.1,8.3,1.09,10.7,3.8,13.3,8.5,9.8,55.1,61.4,18.7,92.78,12.2,"4,723"
3,Jared Jeffries,WAS,22,82,25,57,23.4,95.5,99.7,-4.2,8.3,0.87,12.4,8.8,13.0,10.8,14.3,38.5,42.8,14.6,94.63,5.0,"3,772"
3,Jeff Foster,IND,27,82,61,21,23.8,104.0,91.6,12.5,5.1,1.07,11.6,13.2,19.4,16.3,10.9,54.4,57.8,11.5,90.17,11.3,"3,665"
3,Joe Johnson,PHX,23,82,29,53,40.7,100.7,103.9,-3.2,18.7,1.82,18.5,2.4,9.1,5.8,10.2,46.2,49.1,21.4,94.05,9.5,"6,519"
3,Kerry Kittles,NJN,30,82,47,35,34.7,99.6,95.6,4.0,12.6,2.17,15.6,2.0,9.7,5.9,7.2,50.3,52.6,17.8,92.19,10.6,"5,479"
3,Kevin Garnett,MIN,28,82,58,24,39.5,106.3,96.7,9.6,23.3,1.93,16.7,8.2,26.5,17.9,8.7,50.2,54.7,29.1,91.08,22.2,"6,150"
3,Kevin Ollie,CLE,31,82,35,47,17.0,97.3,98.0,-0.7,27.6,2.89,36.1,1.7,10.3,6.0,12.5,37.7,51.0,13.4,91.56,9.8,"2,646"
3,Latrell Sprewell,MIN,33,82,58,24,37.8,104.3,97.9,6.4,15.2,1.81,15.5,1.9,7.9,5.1,8.6,44.8,49.3,23.2,91.49,10.0,"5,925"
3,Mark Blount,BOS,28,82,36,46,29.3,100.9,101.5,-0.7,5.3,0.50,8.1,8.9,15.7,12.4,16.2,56.6,60.1,15.9,95.02,10.5,"4,758"
3,Michael Redd,MIL,24,82,41,41,36.8,103.6,104.9,-1.3,11.2,1.59,9.6,3.9,9.6,6.7,6.0,48.4,54.4,25.4,94.39,12.3,"5,947"
3,Mike Bibby,SAC,26,82,55,27,36.4,109.8,103.9,5.9,24.1,2.54,22.7,2.4,6.9,4.7,8.9,51.4,56.4,22.7,95.72,11.5,"5,939"
3,Morris Peterson,TOR,26,82,33,49,26.1,95.0,96.3,-1.3,9.5,1.64,14.0,1.7,10.8,6.2,8.6,51.3,53.9,15.4,89.71,8.5,"3,997"
3,Rafer Alston,MIA,27,82,42,40,31.5,100.1,98.8,1.3,25.2,2.91,28.1,1.0,8.1,4.5,9.7,48.1,50.9,17.1,89.89,9.6,"4,843"
3,Raja Bell,UTA,27,82,42,40,24.6,98.4,100.0,-1.6,10.7,0.96,9.4,3.1,9.8,6.4,9.8,44.7,50.0,23.3,89.70,8.2,"3,774"
3,Rasho Nesterovic,SAS,28,82,57,25,28.8,99.0,92.4,6.6,8.2,1.07,11.7,11.1,15.8,13.5,11.0,46.9,47.3,16.7,90.74,10.1,"4,452"
