,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Casey Jacobsen,NOH,24,84,43,41,21.5,100.3,100.2,0.1,10.2,1.59,16.7,2.0,7.2,4.6,10.5,48.5,55.5,14.1,92.90,7.4,"3,496"
2,Andre Iguodala,PHI,21,82,43,39,32.7,101.8,101.8,0.0,13.9,1.77,23.9,3.3,14.1,8.7,13.5,53.6,58.0,12.7,97.31,10.0,"5,427"
2,Andre Miller,DEN,29,82,49,33,34.7,105.7,102.3,3.4,31.5,2.59,31.3,3.7,8.4,6.1,12.1,48.0,54.1,19.4,94.84,12.2,"5,622"
2,Ben Gordon,CHI,22,82,47,35,24.5,100.3,96.1,4.2,16.5,0.88,10.8,2.7,7.4,5.2,12.3,47.4,52.6,29.4,95.40,10.5,"3,991"
2,Bruce Bowen,SAS,34,82,59,23,32.0,105.3,96.7,8.6,7.5,2.21,15.1,2.0,9.2,5.6,6.8,50.5,52.1,12.6,89.59,6.7,"4,883"
2,Chris Duhon,CHI,22,82,47,35,26.5,100.2,96.6,3.5,28.0,3.34,38.5,1.0,8.8,4.9,11.5,44.9,47.1,13.0,93.89,8.0,"4,229"
2,Chucky Atkins,LAL,30,82,34,48,35.5,107.8,110.4,-2.6,20.1,2.37,23.7,1.1,5.5,3.3,10.0,52.3,55.8,17.7,93.67,8.1,"5,681"
2,Damon Jones,MIA,28,82,59,23,31.4,111.0,102.9,8.1,20.1,3.58,29.0,0.6,8.2,4.6,8.1,61.1,62.5,15.0,93.97,10.9,"5,063"
2,Drew Gooden,CLE,23,82,42,40,30.8,106.8,104.3,2.5,8.8,0.98,9.7,8.4,22.9,15.6,9.9,49.5,54.8,21.5,91.76,14.0,"4,822"
2,Dwight Howard,ORL,19,82,36,46,32.7,103.0,105.9,-2.9,4.3,0.45,6.8,11.1,19.9,15.6,14.9,52.0,57.1,16.7,96.58,11.5,"5,378"
2,Earl Boykins,DEN,29,82,49,33,26.4,103.1,101.9,1.2,29.3,3.07,25.8,1.7,5.0,3.3,8.4,44.7,53.0,21.4,95.74,12.3,"4,347"
2,Joe Johnson,PHX,24,82,62,20,39.5,113.6,105.2,8.4,13.0,1.97,17.1,3.7,8.3,6.2,8.7,53.6,55.6,18.7,98.00,9.4,"6,617"
2,Kevin Garnett,MIN,29,82,44,38,38.1,106.9,104.6,2.3,26.4,2.10,20.3,8.3,27.2,18.1,9.7,50.4,56.7,26.8,91.42,21.3,"5,946"
2,Kyle Korver,PHI,24,82,43,39,32.5,102.2,101.4,0.8,10.8,1.72,17.0,1.5,12.7,7.1,9.9,56.7,58.8,14.4,97.88,8.8,"5,441"
2,Luke Ridnour,SEA,24,82,52,30,31.4,107.9,108.2,-0.3,30.4,3.24,33.4,2.2,6.3,4.2,10.3,45.0,50.4,17.0,89.75,10.0,"4,819"
2,Mark Blount,BOS,29,82,45,37,26.1,103.9,103.9,0.0,9.8,0.82,13.2,7.2,11.8,9.6,16.2,52.9,55.9,17.8,95.04,7.8,"4,233"
2,Matt Bonner,TOR,25,82,33,49,18.8,104.0,105.8,-1.8,5.4,1.20,8.3,6.9,11.8,9.3,6.9,57.6,59.6,15.3,94.80,8.4,"3,057"
2,Mehmet Okur,UTA,26,82,26,56,28.1,101.8,106.2,-4.3,13.2,1.18,13.6,8.8,20.2,14.4,11.5,47.9,56.9,20.8,90.83,14.8,"4,353"
2,Morris Peterson,TOR,27,82,33,49,30.7,105.7,106.7,-1.0,11.0,1.82,14.1,2.9,10.9,6.9,7.7,49.6,54.3,18.4,95.15,8.9,"4,993"
2,Nick Collison,SEA,24,82,52,30,17.0,107.1,102.7,4.5,4.0,0.52,6.4,11.3,16.1,13.7,12.5,53.5,56.9,15.0,90.89,8.5,"2,635"
2,P.J. Brown,NOH,35,82,18,64,34.5,99.0,106.8,-7.8,10.9,1.76,15.5,9.2,18.0,13.4,8.8,44.6,51.2,15.7,89.74,11.3,"5,287"
2,Paul Pierce,BOS,27,82,45,37,36.1,108.2,105.1,3.2,19.7,1.51,16.7,2.8,15.4,9.4,11.0,49.9,58.3,26.1,95.17,14.6,"5,874"
2,Ricky Davis,BOS,25,82,45,37,32.8,103.9,105.1,-1.2,16.3,1.20,14.9,2.6,6.7,4.7,12.4,49.1,54.7,23.2,95.40,10.3,"5,350"
2,Stephon Marbury,NYK,28,82,33,49,40.2,106.8,107.5,-0.7,34.4,2.87,27.3,1.5,6.4,3.9,9.5,50.6,57.5,24.3,93.18,14.4,"6,405"
2,Tayshaun Prince,DET,25,82,54,28,37.1,105.5,97.8,7.8,14.0,1.83,16.9,4.5,10.0,7.3,9.2,51.1,55.6,18.5,88.79,11.6,"5,630"
2,Trenton Hassell,MIN,26,82,44,38,25.3,103.0,103.9,-0.9,9.7,2.00,17.9,4.0,6.7,5.4,9.0,47.5,51.5,13.0,90.45,5.4,"3,890"
