,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Andre Iguodala,PHI,22,82,38,44,37.6,105.5,104.9,0.5,12.6,1.67,20.3,4.0,12.0,8.1,12.2,54.1,59.8,14.5,94.97,10.0,"6,088"
1,Andre Miller,DEN,30,82,44,38,35.8,106.2,103.6,2.5,35.5,2.63,33.8,3.4,8.8,6.2,12.8,46.6,53.2,20.2,94.92,11.7,"5,800"
1,Andres Nocioni,CHI,26,82,41,41,27.3,101.8,103.4,-1.6,9.1,0.98,10.0,3.9,18.6,11.2,10.2,51.7,56.7,20.8,95.74,12.3,"4,459"
1,Andrew Bogut,MIL,21,82,40,42,28.6,104.1,102.2,1.9,13.3,1.54,19.0,8.4,17.6,12.9,12.4,53.3,55.5,15.7,92.86,10.4,"4,537"
1,Antawn Jamison,WAS,30,82,42,40,40.1,109.2,105.9,3.3,8.3,1.15,8.2,5.0,19.3,11.9,7.1,49.1,51.8,23.3,94.59,12.9,"6,494"
1,Antoine Walker,MIA,29,82,52,30,26.8,105.0,102.4,2.6,12.9,1.11,13.1,4.9,14.5,9.8,11.8,51.2,52.4,22.5,93.77,10.5,"4,307"
1,Antonio McDyess,DET,31,82,64,18,21.1,106.4,102.0,4.4,8.9,1.18,11.5,9.1,17.7,13.2,9.7,50.9,52.0,18.3,89.43,10.0,"3,227"
1,Ben Wallace,DET,31,82,64,18,35.2,109.6,98.0,11.6,8.1,1.80,18.7,10.9,22.5,16.7,10.4,51.0,50.1,11.3,88.14,12.2,"5,299"
1,Bruce Bowen,SAS,35,82,63,19,33.6,106.4,99.0,7.4,6.7,1.88,16.4,1.4,10.5,6.2,8.7,53.0,54.0,11.0,89.46,6.5,"5,126"
1,Damien Wilkins,SEA,26,82,35,47,18.6,104.2,109.6,-5.4,11.4,1.26,15.3,5.3,8.2,6.7,12.2,46.0,52.9,17.0,95.06,7.6,"3,018"
1,Damon Jones,CLE,29,82,50,32,25.5,106.6,104.4,2.1,12.4,3.07,23.1,0.7,6.0,3.3,7.5,53.0,53.8,12.1,93.66,6.0,"4,103"
1,DeShawn Stevenson,ORL,25,82,36,46,32.3,104.0,108.7,-4.8,10.1,1.30,13.7,2.5,7.3,5.0,10.5,46.1,50.7,17.8,90.02,6.7,"4,957"
1,Derek Fisher,GSW,31,82,34,48,31.6,102.7,103.2,-0.5,23.0,2.26,23.2,1.3,6.9,4.0,10.3,47.6,53.6,19.8,94.74,10.0,"5,114"
1,Dwight Howard,ORL,20,82,36,46,36.8,106.6,106.1,0.5,7.0,0.58,8.4,10.8,26.0,18.6,14.6,53.1,56.5,21.1,89.42,13.8,"5,625"
