,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Aaron Brooks,HOU,25,82,42,40,35.6,106.6,106.4,0.2,25.3,1.87,20.5,1.8,5.7,3.7,11.0,51.1,54.9,25.4,95.60,10.3,"5,796"
1,Amar'e Stoudemire,PHX,27,82,54,28,34.6,114.8,109.4,5.4,4.7,0.38,4.5,8.8,16.6,13.0,11.6,55.7,61.5,27.0,96.67,13.7,"5,722"
1,Amir Johnson,TOR,23,82,40,42,17.7,107.1,104.3,2.8,5.0,0.76,9.4,11.1,16.0,13.6,12.4,62.3,63.9,14.1,95.43,9.5,"2,874"
1,Andre Iguodala,PHI,26,82,27,55,38.9,104.1,108.2,-4.1,23.8,2.17,23.7,2.7,15.1,8.8,11.0,48.5,53.5,21.5,92.95,12.8,"6,181"
1,Andre Miller,POR,34,82,50,32,30.5,110.5,104.0,6.5,29.6,2.57,26.3,3.6,8.1,5.9,10.2,45.4,53.0,23.5,88.81,12.4,"4,624"
1,Arron Afflalo,DEN,24,82,53,29,27.1,109.0,104.8,4.2,9.3,1.86,16.5,2.7,8.7,5.7,8.9,55.7,57.6,13.9,96.50,6.5,"4,462"
1,Boris Diaw,CHA,28,82,44,38,35.4,104.7,101.7,3.0,18.5,1.83,24.3,4.9,10.5,7.8,13.3,52.5,55.2,16.1,91.69,9.3,"5,548"
1,Brad Miller,CHI,34,82,41,41,23.8,101.4,102.7,-1.3,12.2,1.44,16.6,4.3,16.2,10.3,11.5,46.2,53.0,17.5,95.61,9.6,"3,898"
1,Brandon Jennings,MIL,20,82,46,36,32.6,103.9,101.5,2.5,29.8,2.35,23.5,1.8,9.5,5.4,10.0,43.1,47.5,25.6,92.80,10.5,"5,159"
1,Brandon Rush,IND,24,82,32,50,30.4,101.2,104.3,-3.1,7.0,1.20,11.8,1.6,11.9,6.7,9.8,51.1,52.2,14.7,98.18,7.0,"5,075"
1,Brook Lopez,NJN,22,82,12,70,36.9,99.8,109.9,-10.1,11.6,0.92,10.7,9.0,15.7,12.2,11.7,49.9,57.0,23.3,92.92,12.6,"5,858"
1,Chuck Hayes,HOU,27,82,42,40,21.6,105.7,104.6,1.1,11.0,1.88,24.3,8.7,18.9,13.7,13.0,48.9,50.0,11.0,94.29,7.7,"3,465"
1,Corey Brewer,MIN,24,82,15,67,30.3,100.4,110.6,-10.2,12.2,1.18,13.6,2.8,8.8,5.7,11.6,47.4,50.2,21.2,97.85,6.7,"5,064"
1,DeJuan Blair,SAS,21,82,50,32,18.2,106.2,103.0,3.2,7.0,0.58,8.8,13.9,22.1,18.0,15.2,55.6,56.4,19.7,95.21,11.4,"2,966"
1,Derek Fisher,LAL,35,82,57,25,27.2,110.0,102.6,7.4,12.5,2.58,22.5,1.2,6.5,3.9,8.7,45.0,49.9,13.7,94.51,5.4,"4,400"
1,Dwight Howard,ORL,24,82,59,23,34.7,112.2,100.9,11.3,8.7,0.53,8.9,11.0,28.0,19.9,16.9,61.2,63.0,24.1,92.34,16.7,"5,469"
1,Emeka Okafor,NOH,27,82,37,45,28.9,105.7,108.4,-2.6,3.5,0.50,5.8,10.8,22.1,16.3,11.8,53.0,54.7,16.9,93.86,10.0,"4,629"
1,JJ Redick,ORL,26,82,59,23,22.1,108.7,103.8,4.9,14.3,2.51,18.4,1.0,7.6,4.4,7.3,54.0,60.6,17.5,94.13,10.2,"3,549"
1,Jared Dudley,PHX,24,82,54,28,24.3,112.2,106.8,5.3,8.2,1.69,15.6,5.3,8.8,7.1,9.3,58.2,61.2,13.5,96.92,8.3,"4,020"
1,Jarrett Jack,TOR,26,82,40,42,27.4,109.1,111.9,-2.8,27.7,2.53,30.7,1.4,8.8,5.2,12.1,54.2,59.9,18.5,95.80,11.0,"4,491"
1,Jason Williams,ORL,34,82,59,23,20.8,110.0,102.8,7.2,26.5,3.43,36.0,0.4,6.7,3.7,10.5,54.2,55.5,14.0,94.60,10.0,"3,366"
1,Jeff Green,OKC,23,82,50,32,37.1,107.3,105.4,2.0,7.1,0.99,9.4,3.9,12.7,8.4,9.4,50.2,53.0,19.0,94.07,9.1,"5,967"
1,Jordan Farmar,LAL,23,82,57,25,18.0,102.4,100.5,1.9,13.9,1.76,17.0,0.9,7.7,4.3,9.6,51.8,53.5,18.6,95.67,8.2,"2,939"
1,Kevin Durant,OKC,21,82,50,32,39.5,109.0,102.7,6.2,13.0,0.85,9.1,3.4,15.8,9.8,10.7,51.4,60.7,31.1,95.46,18.3,"6,456"
1,Lamar Odom,LAL,30,82,57,25,31.5,106.0,100.3,5.7,15.9,1.78,21.5,7.1,23.2,15.2,12.1,50.2,53.3,16.6,95.09,13.1,"5,127"
1,Luis Scola,HOU,30,82,42,40,32.6,105.8,106.7,-0.9,11.0,1.04,11.0,6.5,21.0,13.5,10.6,51.4,55.0,22.7,95.01,12.8,"5,282"
1,Luke Ridnour,MIL,29,82,46,36,21.4,103.4,102.3,1.0,31.4,3.06,27.6,1.3,7.2,4.1,9.0,52.8,57.0,21.4,94.89,12.7,"3,461"
1,Martell Webster,POR,23,82,50,32,24.5,106.9,104.2,2.8,5.0,1.03,7.5,2.4,12.4,7.2,7.2,50.2,54.3,17.7,90.18,8.1,"3,770"
1,Nene,DEN,27,82,53,29,33.6,112.1,106.1,5.9,11.4,1.62,16.5,6.3,17.3,11.8,10.2,58.7,63.1,16.5,95.63,12.5,"5,485"
1,O.J. Mayo,MEM,22,82,40,42,38.0,107.8,109.2,-1.3,12.0,1.38,14.2,2.0,8.6,5.2,10.4,51.6,55.1,20.3,94.86,9.2,"6,164"
1,Paul Millsap,UTA,25,82,53,29,27.8,109.5,101.8,7.7,9.0,1.13,12.1,8.9,16.7,12.9,10.7,53.8,57.3,18.4,95.28,11.1,"4,509"
1,Ramon Sessions,MIN,24,82,15,67,21.1,99.4,105.6,-6.1,23.6,1.88,24.5,3.2,9.0,6.1,13.0,45.7,51.3,19.5,98.28,9.3,"3,547"
1,Rasual Butler,LAC,31,82,29,53,33.0,102.2,107.9,-5.7,6.7,1.47,10.4,1.5,7.5,4.5,7.1,49.3,52.4,16.4,94.96,6.7,"5,348"
1,Russell Westbrook,OKC,21,82,50,32,34.3,108.9,104.6,4.3,36.7,2.43,28.8,5.2,9.1,7.2,11.8,42.8,49.1,25.0,95.52,12.0,"5,614"
1,Samuel Dalembert,PHI,30,82,27,55,25.9,102.6,106.9,-4.3,4.7,0.52,8.3,11.9,27.5,19.6,15.9,54.5,57.3,15.1,92.46,11.7,"4,071"
1,Shannon Brown,LAL,24,82,57,25,20.7,102.0,101.1,0.9,10.5,1.61,13.1,1.7,8.8,5.3,8.2,48.0,51.7,18.6,94.76,8.3,"3,349"
1,Taj Gibson,CHI,25,82,41,41,26.9,102.4,103.2,-0.8,4.9,0.61,7.8,10.1,16.8,13.5,12.8,49.4,52.1,16.5,94.00,8.6,"4,301"
1,Thabo Sefolosha,OKC,26,82,50,32,28.6,105.6,103.8,1.9,8.8,1.61,20.3,3.4,13.4,8.4,12.6,48.6,50.9,10.7,95.48,7.1,"4,667"
1,Wesley Matthews,UTA,23,82,53,29,24.7,110.1,104.6,5.5,9.0,1.33,14.3,2.7,7.3,5.0,10.7,53.9,59.2,16.4,95.06,7.8,"4,003"
40,Al Horford,ATL,24,81,52,29,35.1,113.1,104.5,8.6,10.2,1.55,14.8,8.8,20.7,14.8,9.6,55.2,59.4,17.7,90.18,13.2,"5,344"
40,Andray Blatche,WAS,23,81,26,55,27.9,101.0,107.4,-6.4,13.8,0.93,11.7,7.1,16.7,11.8,12.6,48.5,51.9,25.4,93.45,12.0,"4,391"
40,Anthony Parker,CLE,35,81,61,20,28.3,111.0,102.6,8.4,9.5,2.21,21.2,1.5,8.8,5.3,9.6,54.7,57.6,11.7,93.38,6.5,"4,468"
40,Channing Frye,PHX,27,81,54,27,27.0,115.9,108.0,7.9,7.2,1.55,12.0,3.3,15.8,9.9,7.7,57.3,59.8,16.7,97.03,9.1,"4,431"
40,Danilo Gallinari,NYK,21,81,28,53,33.9,106.6,109.0,-2.4,7.7,1.23,10.4,2.4,12.7,7.5,8.4,52.3,57.5,19.1,95.20,9.4,"5,448"
40,David Lee,NYK,27,81,28,53,37.3,106.5,110.1,-3.6,17.2,1.56,15.7,7.7,24.9,16.2,10.1,54.5,58.4,23.5,95.75,15.9,"6,003"
40,David West,NOH,29,81,37,44,36.4,107.1,109.8,-2.7,13.5,1.38,13.4,5.8,15.9,10.8,9.7,50.8,56.0,23.8,93.92,12.3,"5,760"
