,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Alonzo Gee,CLE,26,82,24,58,31.0,102.7,109.7,-7.0,8.1,1.01,12.0,2.8,10.5,6.4,12.0,45.6,50.5,16.6,94.58,6.4,"5,006"
1,Andray Blatche,BKN,26,82,49,33,19.0,103.3,103.0,0.3,10.8,0.69,8.7,10.4,18.5,14.2,12.6,51.4,54.7,25.8,90.93,14.6,"2,930"
1,Andre Miller,DEN,37,82,57,25,26.2,107.4,103.2,4.2,32.6,2.81,35.3,2.8,8.0,5.5,12.6,49.3,54.8,17.6,96.46,11.5,"4,336"
1,Corey Brewer,DEN,27,82,57,25,24.4,106.6,102.7,3.9,9.7,1.22,10.3,2.7,8.4,5.6,8.5,47.6,50.6,22.8,98.40,8.8,"4,101"
1,Damian Lillard,POR,22,82,33,49,38.6,106.3,107.8,-1.5,28.0,2.19,24.2,1.4,7.0,4.2,11.1,50.1,54.6,23.7,93.14,10.5,"6,160"
1,DeAndre Jordan,LAC,24,82,56,26,24.5,113.4,105.5,8.0,2.0,0.28,3.9,11.4,20.7,16.1,13.8,64.3,60.6,15.8,91.63,9.9,"3,822"
1,DeMar DeRozan,TOR,23,82,34,48,36.7,103.4,105.1,-1.7,12.0,1.35,11.5,1.6,9.5,5.5,8.5,45.9,52.3,23.8,92.61,10.0,"5,807"
1,Evan Turner,PHI,24,82,34,48,35.3,100.7,104.5,-3.8,19.2,1.89,21.0,1.9,16.2,9.0,11.1,44.6,47.8,20.9,92.90,9.5,"5,596"
1,Jason Thompson,SAC,26,82,28,54,27.9,104.7,109.2,-4.5,5.9,0.83,8.2,7.6,17.5,12.4,9.9,50.2,53.3,18.2,95.73,9.0,"4,539"
1,Jeremy Lin,HOU,24,82,45,37,32.2,107.7,105.1,2.6,29.0,2.11,28.4,1.3,8.1,4.7,13.5,49.0,53.8,20.6,98.07,9.8,"5,391"
1,Jimmy Butler,CHI,23,82,45,37,26.0,103.2,100.7,2.4,8.8,1.85,14.6,6.4,9.2,7.7,7.8,50.6,57.4,14.4,90.64,10.6,"4,008"
1,Kemba Walker,CHA,23,82,21,61,34.9,100.3,109.0,-8.7,30.8,2.36,22.8,2.0,8.2,5.0,9.7,46.6,51.7,25.0,92.66,12.5,"5,525"
1,Klay Thompson,GSW,23,82,47,35,35.8,106.0,104.2,1.8,9.9,1.17,11.3,1.1,8.9,5.1,9.7,50.9,53.3,21.6,96.30,7.6,"5,891"
1,Kyle Singler,DET,25,82,29,53,28.0,101.5,105.5,-4.1,5.3,0.79,8.9,4.8,10.1,7.4,11.3,48.3,51.7,15.5,92.00,5.8,"4,404"
1,Lamar Odom,LAC,33,82,56,26,19.7,105.3,95.4,9.9,12.8,1.65,23.2,7.5,22.2,15.0,14.1,42.3,42.9,13.0,93.76,9.0,"3,147"
