,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Ramon Sessions,MIL,28,83,30,53,26.7,102.1,105.6,-3.6,25.8,2.30,23.6,1.7,7.4,4.6,10.3,45.2,53.9,21.9,95.06,11.4,"4,380"
2,Ben McLemore,SAC,21,82,28,54,26.7,103.6,108.1,-4.5,5.8,0.85,8.9,2.4,8.6,5.4,10.5,44.6,48.5,16.6,96.19,4.2,"4,378"
2,Brandon Bass,BOS,29,82,25,57,27.6,99.3,107.1,-7.8,6.5,0.85,8.5,7.1,14.3,10.6,10.0,48.7,54.9,18.4,94.73,9.9,"4,449"
2,Channing Frye,PHX,31,82,48,34,28.2,111.2,104.9,6.4,6.1,1.10,9.7,3.2,14.9,9.1,8.8,53.5,55.5,17.2,96.94,8.2,"4,670"
2,Cody Zeller,CHA,21,82,43,39,17.3,98.5,101.6,-3.0,10.6,1.06,13.6,8.0,15.9,12.0,12.9,42.6,49.8,17.8,97.07,8.6,"2,866"
2,Damian Lillard,POR,23,82,54,28,35.8,111.5,105.5,6.0,24.9,2.37,21.5,1.2,8.2,4.7,9.1,50.8,56.8,24.4,97.16,11.7,"5,946"
2,DeAndre Jordan,LAC,25,82,57,25,35.0,113.0,104.3,8.7,3.6,0.60,8.4,11.9,26.0,19.3,13.9,67.6,63.0,12.3,96.67,12.1,"5,776"
2,Draymond Green,GSW,24,82,51,31,21.9,102.9,98.1,4.8,12.7,1.67,20.0,4.6,17.3,11.0,12.0,46.7,49.8,14.6,99.46,9.0,"3,706"
2,Gerald Green,PHX,28,82,48,34,28.4,107.9,106.8,1.1,8.5,0.84,8.9,2.1,9.8,6.0,10.6,54.7,58.5,23.3,98.11,9.7,"4,758"
2,Greg Monroe,DET,24,82,29,53,32.8,105.6,108.3,-2.7,10.1,1.03,11.3,8.8,19.6,13.8,11.0,49.7,53.1,21.1,96.33,11.8,"5,395"
2,Jason Thompson,SAC,27,82,28,54,24.5,106.0,105.6,0.4,4.0,0.56,7.5,7.7,18.8,13.3,13.4,50.6,52.3,14.3,95.30,7.3,"3,972"
2,Jeff Green,BOS,27,82,25,57,34.2,100.3,106.4,-6.1,8.5,0.84,8.5,1.8,12.1,6.7,10.1,46.9,52.0,23.2,95.42,8.9,"5,568"
2,John Wall,WAS,23,82,44,38,36.3,106.0,102.5,3.5,39.2,2.44,28.6,1.3,10.2,5.7,11.7,47.3,52.4,26.7,95.88,13.5,"5,945"
2,Khris Middleton,MIL,22,82,15,67,30.0,102.2,109.7,-7.5,11.4,1.37,14.0,2.4,10.6,6.4,10.2,51.1,54.1,18.6,93.97,7.9,"4,807"
2,Kyle Singler,DET,26,82,29,53,28.5,103.5,108.2,-4.7,4.7,0.95,9.0,4.6,8.0,6.2,9.4,52.5,57.4,13.7,96.92,6.5,"4,716"
