,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Josh Smith,HOU,29,83,41,42,27.7,102.6,102.0,0.7,20.7,1.34,17.5,6.1,15.5,10.7,13.0,45.6,46.7,24.2,98.85,9.7,"4,729"
2,Aaron Brooks,CHI,30,82,50,32,23.0,107.2,102.1,5.0,24.5,1.66,20.0,1.7,6.8,4.3,12.0,49.5,53.4,24.6,94.35,9.2,"3,715"
2,Andre Drummond,DET,21,82,32,50,30.5,104.9,105.5,-0.6,3.7,0.46,4.2,16.2,27.2,21.5,9.2,51.4,50.4,21.7,94.34,12.5,"4,903"
2,Andrew Wiggins,MIN,20,82,16,66,36.2,101.5,111.3,-9.7,9.7,0.96,10.0,4.4,8.5,6.4,10.4,45.4,51.7,22.3,95.46,8.1,"5,915"
2,Ben McLemore,SAC,22,82,29,53,32.6,104.8,105.4,-0.6,8.2,1.01,11.9,1.2,7.6,4.5,11.7,52.1,55.2,17.0,96.99,6.4,"5,394"
2,Brandon Bass,BOS,30,82,40,42,23.5,100.6,103.5,-2.9,9.1,1.25,10.8,7.0,13.1,10.0,8.6,51.0,55.7,19.5,97.58,11.0,"3,890"
2,Chris Paul,LAC,30,82,56,26,34.8,116.7,104.0,12.7,44.1,4.41,35.8,1.9,11.1,6.6,8.1,54.5,59.6,23.2,96.21,17.3,"5,729"
2,D.J. Augustin,OKC,27,82,37,45,23.9,103.3,105.6,-2.3,28.6,2.43,28.6,0.9,7.1,3.9,11.7,46.3,52.7,19.4,95.44,10.0,"3,913"
2,Damian Lillard,POR,24,82,51,31,35.7,108.9,103.6,5.3,28.5,2.28,22.5,1.6,10.7,6.3,9.9,50.6,56.0,26.2,95.53,13.7,"5,819"
2,Dante Exum,UTA,19,82,38,44,22.2,102.0,99.3,2.7,16.9,1.68,26.6,1.6,5.7,3.7,15.8,44.8,45.7,13.7,91.03,3.7,"3,446"
2,DeAndre Jordan,LAC,26,82,56,26,34.4,116.1,104.5,11.7,3.0,0.56,6.6,14.4,28.9,21.8,11.9,71.1,63.8,13.4,95.35,13.2,"5,588"
2,Elfrid Payton,ORL,21,82,25,57,30.3,102.3,105.7,-3.4,31.4,2.63,34.7,4.2,9.9,7.0,13.2,43.3,45.6,17.9,95.62,9.0,"4,941"
2,Evan Turner,BOS,26,82,40,42,27.6,101.9,103.7,-1.8,30.2,2.27,30.8,1.7,16.3,8.9,13.6,45.1,48.2,19.3,97.54,11.0,"4,583"
2,Greivis Vasquez,TOR,28,82,49,33,24.3,107.2,105.5,1.6,24.7,2.54,25.7,1.1,9.9,5.5,10.1,50.0,51.4,19.6,94.41,8.6,"3,919"
2,Harrison Barnes,GSW,23,82,67,15,28.3,110.0,98.4,11.6,6.8,1.63,12.7,5.1,13.3,9.4,7.8,54.8,57.3,14.7,100.71,8.9,"4,847"
2,Jae Crowder,BOS,24,82,47,35,20.1,105.8,103.0,2.8,8.7,1.92,12.6,4.1,13.2,8.5,6.5,47.6,51.7,16.9,97.95,9.2,"3,350"
2,Jason Smith,NYK,29,82,17,65,21.8,98.0,110.8,-12.8,13.4,1.35,15.4,5.4,13.3,9.2,11.4,44.7,49.7,19.3,93.90,7.6,"3,502"
2,Kentavious Caldwell-Pope,DET,22,82,32,50,31.5,106.2,104.8,1.4,6.5,1.16,8.8,1.6,8.2,4.8,7.6,48.0,50.1,19.0,95.00,6.5,"5,118"
2,Marcin Gortat,WAS,31,82,46,36,29.9,104.2,99.1,5.1,6.2,0.97,9.2,7.6,20.9,14.5,9.5,56.6,58.7,17.3,95.91,13.3,"4,904"
2,Markieff Morris,PHX,25,82,39,43,31.5,104.6,102.6,2.0,12.0,1.13,12.3,4.3,14.9,9.7,10.9,49.1,52.3,23.2,97.62,10.7,"5,249"
2,Mason Plumlee,BKN,25,82,38,44,21.3,102.0,106.6,-4.6,6.9,0.70,9.1,10.3,19.8,15.1,13.1,57.3,57.0,19.2,93.76,10.4,"3,393"
2,Nikola Mirotic,CHI,24,82,50,32,20.2,105.4,100.4,5.0,10.2,1.09,10.4,3.9,19.3,11.9,9.5,48.5,55.6,22.5,94.41,13.1,"3,256"
2,Rudy Gobert,UTA,23,82,38,44,26.3,99.9,99.4,0.5,8.7,0.98,14.1,12.3,23.2,17.8,14.4,60.4,62.7,13.8,92.28,16.0,"4,142"
2,Solomon Hill,IND,24,82,38,44,29.0,100.7,104.4,-3.7,12.1,1.60,18.0,2.9,10.3,6.6,11.2,45.0,50.7,15.9,93.77,7.1,"4,648"
2,Terrence Ross,TOR,24,82,49,33,25.5,109.7,109.0,0.6,6.3,1.25,9.2,1.6,9.5,5.5,7.4,50.7,51.9,18.1,93.95,6.6,"4,099"
2,Trevor Ariza,HOU,29,82,56,26,35.7,105.5,101.5,4.0,11.2,1.48,15.8,2.6,12.7,7.6,10.7,50.9,53.9,16.3,97.31,9.5,"5,936"
2,Tristan Thompson,CLE,24,82,53,29,26.8,110.5,104.5,5.9,2.8,0.47,5.4,12.4,17.4,14.9,11.4,54.7,58.0,13.9,93.41,9.7,"4,253"
2,Tyler Zeller,BOS,25,82,40,42,21.1,100.3,102.3,-2.0,10.6,1.49,12.7,8.1,17.8,13.0,8.5,54.9,59.4,19.5,98.01,12.7,"3,511"
29,Andre Miller,SAC,39,81,44,37,15.5,102.6,107.4,-4.8,35.2,2.73,39.8,3.1,9.2,6.3,14.6,51.2,54.8,15.2,93.80,10.5,"2,445"
29,Boris Diaw,SAS,33,81,55,26,24.5,106.3,98.9,7.4,18.1,1.85,22.6,4.1,13.7,9.0,12.2,50.3,52.6,18.0,95.19,9.5,"3,935"
29,Danny Green,SAS,28,81,55,26,28.5,108.9,99.0,9.8,10.1,1.70,15.3,2.5,12.2,7.5,9.0,56.6,59.6,17.0,95.45,10.4,"4,586"
29,Eric Bledsoe,PHX,25,81,39,42,34.6,104.6,103.9,0.7,27.3,1.80,24.7,2.6,12.1,7.4,13.8,48.9,55.5,23.3,97.89,13.0,"5,707"
29,Giannis Antetokounmpo,MIL,20,81,41,40,31.4,101.6,101.1,0.6,13.3,1.20,15.8,4.1,17.7,11.0,13.2,49.6,55.2,19.3,94.98,11.1,"5,017"
29,James Harden,HOU,25,81,56,25,36.8,109.2,103.5,5.7,34.0,1.76,20.8,2.5,12.6,7.5,11.8,51.1,60.5,30.8,97.61,18.4,"6,056"
29,Jason Thompson,SAC,28,81,29,52,24.6,103.1,107.5,-4.4,6.3,1.01,12.8,7.2,19.5,13.5,12.6,47.0,50.0,12.8,96.29,7.2,"3,989"
29,Kosta Koufos,MEM,26,81,55,26,16.6,98.5,94.2,4.3,4.4,0.54,7.3,8.7,21.9,15.3,13.7,50.8,53.0,15.4,94.50,11.1,"2,646"
29,Luis Scola,IND,35,81,37,44,20.5,101.4,100.5,0.9,11.0,1.12,11.2,8.1,23.2,15.6,10.0,47.1,51.5,22.1,96.10,13.0,"3,325"
