,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Andre Iguodala,PHI,25,82,41,41,39.9,106.3,104.2,2.1,22.1,1.95,21.3,2.9,12.3,7.6,10.9,50.7,56.0,22.1,91.49,13.5,"6,227"
1,Andre Miller,PHI,33,82,41,41,36.3,106.3,104.8,1.6,29.8,2.68,27.4,4.3,8.8,6.5,10.2,48.0,54.8,21.5,91.15,13.1,"5,663"
1,Ben Gordon,CHI,26,82,41,41,36.6,107.8,107.7,0.1,15.6,1.40,14.4,1.8,7.8,4.8,10.3,52.1,57.3,24.3,95.02,11.0,"5,946"
1,Brook Lopez,NJN,21,82,34,48,30.5,106.8,109.1,-2.3,6.0,0.59,7.4,9.3,18.9,14.0,12.6,53.1,56.8,19.8,92.27,11.2,"4,813"
1,Derek Fisher,LAL,34,82,65,17,29.8,114.0,102.9,11.1,14.6,3.63,24.2,1.1,6.6,3.9,6.7,51.2,54.6,14.6,95.37,7.5,"4,852"
1,Emeka Okafor,CHA,26,82,35,47,32.8,103.6,103.0,0.6,3.4,0.37,4.7,11.1,21.9,16.5,12.8,56.1,58.1,18.7,89.80,12.5,"5,031"
1,Grant Hill,PHX,36,82,46,36,29.8,113.1,109.2,3.9,10.7,1.48,16.2,3.0,13.7,8.7,11.0,54.0,58.4,17.3,98.06,10.2,"4,990"
1,Hakim Warrick,MEM,26,82,24,58,24.7,101.5,105.9,-4.5,6.0,0.67,6.4,6.8,14.8,10.8,9.5,49.4,55.4,21.5,92.55,11.3,"3,915"
1,Jarrett Jack,IND,25,82,36,46,33.1,107.2,107.4,-0.2,18.4,1.84,22.8,1.6,8.4,5.0,12.4,49.8,55.4,18.1,98.82,9.0,"5,582"
1,Jason Thompson,SAC,22,82,17,65,28.1,104.4,110.4,-6.0,6.6,0.64,8.6,10.4,16.8,13.5,13.4,49.7,54.0,19.0,95.86,8.1,"4,592"
1,Joel Przybilla,POR,29,82,54,28,23.8,108.4,99.9,8.5,2.1,0.35,6.0,11.5,28.5,20.1,17.4,62.5,65.2,10.1,88.84,11.8,"3,608"
