,PLAYER,TEAM,AGE,GP,W,L,MIN,"
            OFFRTG
          ","
            DEFRTG
          ","
            NETRTG
          ",AST%,AST/TO,"
            AST Ratio
          ",OREB%,DREB%,REB%,"
            TO Ratio
          ",eFG%,TS%,USG%,PACE,PIE,POSS
1,Amar'e Stoudemire,PHX,24,82,61,21,32.8,113.9,105.6,8.3,4.9,0.36,5.2,9.1,20.4,15.1,14.4,57.5,63.7,25.2,97.40,14.4,"5,454"
1,Andrew Bynum,LAL,19,82,42,40,21.9,103.0,105.8,-2.8,8.5,0.82,12.6,8.3,19.1,13.9,15.5,55.8,59.3,16.3,95.12,9.7,"3,547"
1,Andris Biedrins,GSW,21,82,42,40,29.1,107.0,104.2,2.9,5.3,0.74,10.2,10.6,21.5,16.1,13.8,59.9,59.8,13.9,99.64,10.5,"4,935"
1,Antonio McDyess,DET,32,82,53,29,21.1,107.2,98.3,8.9,7.2,0.96,9.6,9.9,20.0,14.9,10.0,52.6,55.2,18.0,89.70,12.3,"3,223"
1,Ben Gordon,CHI,24,82,49,33,33.0,105.5,98.9,6.6,19.4,1.19,14.3,1.3,8.2,4.8,12.1,51.3,57.2,28.6,95.58,12.7,"5,382"
1,Bruce Bowen,SAS,36,82,58,24,30.1,108.3,94.8,13.5,6.8,1.80,17.3,1.1,8.2,4.9,9.6,50.0,51.1,10.8,90.53,4.9,"4,630"
1,Carlos Delfino,DET,24,82,53,29,16.7,101.1,98.2,2.9,10.8,1.44,15.5,5.0,14.9,9.9,10.8,47.6,51.5,15.8,91.64,10.3,"2,611"
1,Charlie Bell,MIL,28,82,28,54,34.7,105.0,109.5,-4.5,13.7,2.38,17.7,2.0,6.8,4.4,7.4,50.3,53.0,18.1,93.75,7.9,"5,563"
1,Chris Wilcox,SEA,24,82,31,51,31.5,108.3,109.1,-0.8,5.0,0.65,6.9,7.3,18.9,13.1,10.8,52.9,56.8,19.1,93.72,10.3,"5,038"
1,Craig Smith,MIN,23,82,32,50,18.7,99.5,104.3,-4.8,5.6,0.66,7.4,10.3,18.4,14.4,11.1,53.1,55.8,18.2,93.08,10.1,"2,986"
1,Damien Wilkins,SEA,27,82,31,51,24.8,103.3,109.2,-5.9,12.1,1.34,16.5,4.5,7.6,6.0,12.3,47.7,53.5,17.3,94.19,7.9,"3,992"
1,Danny Granger,IND,24,82,35,47,34.0,102.0,104.4,-2.3,7.0,0.84,9.2,4.1,10.2,7.1,10.9,52.2,57.3,17.8,94.40,9.0,"5,470"
1,DeShawn Stevenson,WAS,26,82,41,41,29.5,108.4,110.0,-1.7,13.9,1.83,18.3,2.2,7.0,4.5,10.0,51.0,54.2,17.3,96.89,7.6,"4,891"
1,Derek Fisher,UTA,32,82,51,31,27.9,107.6,103.5,4.1,18.3,2.28,23.1,1.4,5.7,3.5,10.1,41.8,51.0,17.7,94.00,6.9,"4,467"
1,Dwight Howard,ORL,21,82,40,42,36.9,104.2,102.9,1.4,9.2,0.50,9.6,10.5,25.4,18.2,19.3,60.3,61.9,22.5,91.03,16.2,"5,742"
1,Eric Snow,CLE,34,82,50,32,23.5,99.0,99.7,-0.6,25.9,2.97,40.4,1.8,8.2,4.9,13.6,41.7,45.8,11.2,92.98,6.7,"3,736"
1,Hakim Warrick,MEM,24,82,22,60,26.2,102.2,110.9,-8.7,6.4,0.47,6.7,6.4,14.5,10.5,14.3,52.4,59.2,21.8,95.44,9.8,"4,266"
1,Jannero Pargo,NOK,27,82,39,43,20.9,97.9,100.7,-2.8,21.8,1.66,19.1,1.2,9.6,5.3,11.5,46.7,50.4,23.0,91.35,10.2,"3,254"
1,Jarron Collins,UTA,28,82,51,31,11.1,101.7,96.1,5.6,10.2,1.62,19.7,7.8,12.6,10.0,12.2,44.1,49.4,11.6,93.42,4.5,"1,779"
1,Luol Deng,CHI,22,82,49,33,37.5,104.9,98.2,6.7,11.5,1.33,11.8,4.9,14.1,9.5,8.8,51.8,56.0,21.9,95.00,14.5,"6,083"
1,Mark Blount,MIN,31,82,32,50,31.0,101.6,107.4,-5.8,4.5,0.42,5.8,5.9,14.8,10.5,13.8,51.4,54.6,19.7,92.66,8.3,"4,907"
1,Martell Webster,POR,20,82,32,50,21.5,101.1,106.7,-5.7,5.0,0.68,7.7,2.5,12.3,7.3,11.2,48.9,52.2,16.2,91.25,6.6,"3,364"
1,Michael Finley,SAS,34,82,58,24,22.2,106.4,101.5,4.9,10.0,2.35,12.7,2.0,10.7,6.5,5.4,49.0,52.4,18.9,91.38,9.8,"3,476"
1,Mike Bibby,SAC,29,82,33,49,33.9,105.4,106.2,-0.9,23.5,1.97,20.5,1.4,8.4,4.8,10.4,47.8,53.2,23.7,97.84,10.6,"5,681"
1,Mike Dunleavy,IND,26,82,34,48,31.5,103.2,105.1,-1.8,14.2,1.53,17.0,3.2,13.6,8.4,11.1,49.3,54.2,18.7,96.93,10.2,"5,219"
1,Mike James,MIN,32,82,32,50,25.2,101.7,107.2,-5.4,23.2,2.30,24.5,1.3,6.9,4.2,10.7,48.0,52.9,20.2,92.91,8.5,"4,016"
1,Nick Collison,SEA,26,82,31,51,29.0,105.4,106.9,-1.5,5.5,0.67,8.8,10.0,19.4,14.7,13.3,50.0,54.6,16.0,92.71,9.1,"4,577"
1,Paul Millsap,UTA,22,82,51,31,18.0,107.4,101.7,5.7,6.8,0.66,9.6,13.1,18.2,15.6,14.5,52.6,57.1,17.4,92.66,11.0,"2,834"
